"id" "AGE" "year.n" "DV"
141 175 1 0.166869230769231
141 175 2 0.0283
141 175 3 0.0802625152625153
141 175 4 0.12048418972332
141 175 5 0.036461038961039
141 175 6 0.126188725490196
141 175 7 -0.184632352941176
141 175 8 -0.0627279411764706
142 179 1 0.190123076923077
142 179 2 -0.00664615384615385
142 179 3 0.0498595848595849
142 179 4 -0.0291106719367589
142 179 5 -0.0463116883116883
142 179 6 0.0276470588235294
142 179 7 -0.0487745098039215
142 179 8 -0.0778088235294118
143 209 1 0.142966346153846
143 209 2 -0.00535576923076923
143 209 3 0.0132020757020757
143 209 4 -0.0374135375494071
143 209 5 -0.0560876623376623
143 209 6 0.0750306372549019
143 209 7 -0.266957720588235
143 209 8 -0.106158088235294
144 212 1 0.105692307692308
144 212 2 0.112653846153846
144 212 3 0.0377518315018315
144 212 4 -0.0750123517786561
144 212 5 -0.0346428571428572
144 212 6 -0.041421568627451
144 212 7 -0.20484068627451
144 212 8 -0.234485294117647
145 184 1 -0.0354999999999999
145 184 2 -0.00230769230769233
145 184 3 0.0179487179487179
145 184 4 0.0940711462450593
145 184 5 0.00727272727272726
145 184 6 -0.0175245098039215
145 184 7 -0.197794117647059
145 184 8 -0.0180882352941177
146 209 1 0.0922472527472527
146 209 2 0.0680989010989011
146 209 3 0.0645037502180359
146 209 4 0.0169254658385093
146 209 5 0.0555380333951762
146 209 6 0.144975490196078
146 209 7 -0.0902485994397759
146 209 8 0.0266386554621849
147 166 1 0.172483516483517
147 166 2 0.0279120879120879
147 166 3 0.074446188731903
147 166 4 0.0243647656691135
147 166 5 0.0111873840445269
147 166 6 0.115861344537815
147 166 7 -0.201085434173669
147 166 8 -0.00777310924369747
148 229 1 0.109788461538462
148 229 2 0.0769230769230769
148 229 3 0.0686355311355311
148 229 4 0.0443922924901186
148 229 5 0.082987012987013
148 229 6 0.0613357843137255
148 229 7 -0.137867647058823
148 229 8 -0.0762867647058824
149 259 1 0.146461538461538
149 259 2 0.0156703296703297
149 259 3 0.0459968602825746
149 259 4 0.0507763975155279
149 259 5 0.0920222634508349
149 259 6 0.0444327731092437
149 259 7 -0.089390756302521
149 259 8 0.0338025210084034
150 259 1 0.176
150 259 2 0.0778736263736264
150 259 3 0.0586691086691087
150 259 4 0.0686053077357425
150 259 5 0.0361688311688312
150 259 6 0.0872724089635854
150 259 7 -0.213830532212885
150 259 8 -0.098140756302521
151 229 1 0.103423076923077
151 229 2 0.0965769230769231
151 229 3 -0.0336996336996337
151 229 4 0.0571640316205533
151 229 5 -0.0881168831168832
151 229 6 -0.0241421568627451
151 229 7 -0.233455882352941
151 229 8 0.00389705882352939
152 189 1 0.256948717948718
152 189 2 0.107820512820513
152 189 3 0.1004884004884
152 189 4 0.0844202898550725
152 189 5 0.0289177489177489
152 189 6 0.177205882352941
152 189 7 -0.254820261437908
152 189 8 0.0960294117647058
153 215 1 0.0661025641025641
153 215 2 0.0971282051282051
153 215 3 0.0520757020757021
153 215 4 0.0755928853754941
153 215 5 -0.19021645021645
153 215 6 0.00457516339869282
153 215 7 -0.138643790849673
153 215 8 0.161519607843137
154 209 1 0.107817307692308
154 209 2 0.0439471153846154
154 209 3 -0.0100351037851038
154 209 4 0.0282176383399209
154 209 5 0.0172402597402598
154 209 6 0.0125459558823529
154 209 7 -0.188174019607843
154 209 8 -0.0489338235294118
155 359 1 0.138461538461538
155 359 2 0.0631538461538462
155 359 3 -0.16978021978022
155 359 4 -0.351383399209486
155 359 5 0.0497402597402597
155 359 6 -0.347303921568627
155 359 7 -0.28921568627451
155 359 8 -0.336323529411765
156 166 1 0.132784615384615
156 166 2 0.0978769230769231
156 166 3 -0.0644688644688644
156 166 4 0.0697430830039526
156 166 5 0.0138441558441559
156 166 6 0.0584803921568627
156 166 7 -0.323676470588235
156 166 8 -0.135029411764706
157 259 1 0.171076923076923
157 259 2 0.126461538461538
157 259 3 -0.0955128205128206
157 259 4 -0.0754940711462451
157 259 5 -0.19987012987013
157 259 6 0.052328431372549
157 259 7 -0.24203431372549
157 259 8 0.102573529411765
158 239 1 0.0936153846153846
158 239 2 0.0813846153846154
158 239 3 0.0637973137973138
158 239 4 0.241106719367589
158 239 5 -0.0879220779220779
158 239 6 0.278186274509804
158 239 7 -0.285294117647059
158 239 8 -0.197647058823529
159 209 1 -0.0496153846153846
159 209 2 0.126653846153846
159 209 3 0.0021978021978022
159 209 4 0.0162796442687747
159 209 5 -0.0507467532467532
159 209 6 -0.0550245098039215
159 209 7 -0.232169117647059
159 209 8 -0.0377573529411765
160 215 1 0.223230769230769
160 215 2 0.00723076923076921
160 215 3 0.172283272283272
160 215 4 0.173913043478261
160 215 5 0.425584415584416
160 215 6 0.117401960784314
160 215 7 -0.0870098039215686
160 215 8 -0.0302941176470589
161 339 1 0.055025641025641
161 339 2 0.0232307692307692
161 339 3 0.00307285307285308
161 339 4 0.140612648221344
161 339 5 -0.0468831168831169
161 339 6 0.305718954248366
161 339 7 -0.213480392156863
161 339 8 -0.148235294117647
162 208 1 0.111987179487179
162 208 2 -0.0122435897435897
162 208 3 0.00913715913715915
162 208 4 0.0623353096179183
162 208 5 -0.00595238095238095
162 208 6 0.0118464052287582
162 208 7 -0.24640522875817
162 208 8 0.040343137254902
163 470 1 0.0628923076923077
163 470 2 0.163492307692308
163 470 3 0.00825396825396824
163 470 4 -0.00371541501976285
163 470 5 0.0346753246753247
163 470 6 0.0168627450980392
163 470 7 -0.186519607843137
163 470 8 -0.0071764705882353
164 259 1 0.0626057692307692
164 259 2 0.0800288461538462
164 259 3 -0.0085927960927961
164 259 4 0.0868824110671937
164 259 5 0.0436201298701298
164 259 6 0.242218137254902
164 259 7 -0.0416973039215686
164 259 8 -0.0143014705882353
165 269 1 0.177692307692308
165 269 2 0.00261538461538459
165 269 3 0.0645299145299145
165 269 4 -0.0106719367588933
165 269 5 0.123376623376623
165 269 6 0.0700980392156862
165 269 7 -0.176225490196078
165 269 8 -0.0136764705882352
166 209 1 -0.155076923076923
166 209 2 -0.0480769230769231
166 209 3 0.0227716727716728
166 209 4 -0.0615612648221343
166 209 5 -0.262207792207792
166 209 6 0.188725490196078
166 209 7 0.184558823529412
166 209 8 0.0885294117647059
167 209 1 0.245681318681319
167 209 2 0.104967032967033
167 209 3 0.0454125239839526
167 209 4 0.0460615471485037
167 209 5 -0.0360482374768089
167 209 6 0.0498249299719888
167 209 7 -0.204481792717087
167 209 8 -0.096344537815126
168 209 1 0.169791208791209
168 209 2 0.0646703296703297
